,game_id,show_num,air_date,round,category
0,1,4596,2004-09-06,Jeopardy,THE OLD TESTAMENT
1,1,4596,2004-09-06,Jeopardy,SEAN SONG
2,1,4596,2004-09-06,Jeopardy,CITY WALK
3,1,4596,2004-09-06,Jeopardy,SLOGANEERING
4,1,4596,2004-09-06,Jeopardy,ROOM
5,1,4596,2004-09-06,Jeopardy,"""BOARD"""
6,1,4596,2004-09-06,Double Jeopardy,WORLD HISTORY
7,1,4596,2004-09-06,Double Jeopardy,SPIRITED CINEMA
8,1,4596,2004-09-06,Double Jeopardy,TRANSPORTATION
9,1,4596,2004-09-06,Double Jeopardy,"FISH, BIRD OR MAMMAL"
10,1,4596,2004-09-06,Double Jeopardy,PRUFROCKIAN PONDERINGS
11,1,4596,2004-09-06,Double Jeopardy,"YOU GET AN ""A""!"
12,1,4596,2004-09-06,Final Jeopardy,COMIC BOOKS
13,2,4597,2004-09-07,Jeopardy,WORLD RELIGION
14,2,4597,2004-09-07,Jeopardy,THE EXPERIENCE MUSIC PROJECT
15,2,4597,2004-09-07,Jeopardy,GROCERY SHOPPING
16,2,4597,2004-09-07,Jeopardy,THE LARGEST IN AREA
17,2,4597,2004-09-07,Jeopardy,FEATHERS
18,2,4597,2004-09-07,Jeopardy,THE QUEEN'S ENGLISH
19,2,4597,2004-09-07,Double Jeopardy,THE WAR OF 1812
20,2,4597,2004-09-07,Double Jeopardy,HODGEPODGE
21,2,4597,2004-09-07,Double Jeopardy,DOC TALK
22,2,4597,2004-09-07,Double Jeopardy,BASEBALL: THE 1930s
23,2,4597,2004-09-07,Double Jeopardy,WHO'S THE SUBJECT?
24,2,4597,2004-09-07,Double Jeopardy,"""I"" CATCHING"
25,2,4597,2004-09-07,Final Jeopardy,WAR MOVIES
26,3,4598,2004-09-08,Jeopardy,LITTLE RED RIDING HOOD
27,3,4598,2004-09-08,Jeopardy,SHORTWAVE
28,3,4598,2004-09-08,Jeopardy,SMALL TOWN FOLKS
29,3,4598,2004-09-08,Jeopardy,MICRONESIA
30,3,4598,2004-09-08,Jeopardy,"A ""TINY"" CATEGORY"
31,3,4598,2004-09-08,Jeopardy,MY NEWT
32,3,4598,2004-09-08,Double Jeopardy,TALL BUILDINGS
33,3,4598,2004-09-08,Double Jeopardy,SPORTS GIANTS
34,3,4598,2004-09-08,Double Jeopardy,HEAPING PORTIONS
35,3,4598,2004-09-08,Double Jeopardy,LOTS OF SPACE
36,3,4598,2004-09-08,Double Jeopardy,THE VAST & THE FURIOUS
37,3,4598,2004-09-08,Double Jeopardy,BIG WORDS
38,3,4598,2004-09-08,Final Jeopardy,HISTORIC MEDIUMS
39,4,4599,2004-09-09,Jeopardy,EUROPEAN CAPITALS
40,4,4599,2004-09-09,Jeopardy,PRO FOOTBALL
41,4,4599,2004-09-09,Jeopardy,PLANT THE EVIDENCE
42,4,4599,2004-09-09,Jeopardy,ROYAL HOUSES
43,4,4599,2004-09-09,Jeopardy,THE COIN BOX
44,4,4599,2004-09-09,Jeopardy,"""M""-BRACE ME"
45,4,4599,2004-09-09,Double Jeopardy,"DR. SEUSS MEETS THE BARD, REDUX"
46,4,4599,2004-09-09,Double Jeopardy,CHARADES
47,4,4599,2004-09-09,Double Jeopardy,19th CENTURY WOMEN
48,4,4599,2004-09-09,Double Jeopardy,CONTRACTIONS
49,4,4599,2004-09-09,Double Jeopardy,JAMES
50,4,4599,2004-09-09,Double Jeopardy,"BOND, COMMON BOND"
51,4,4599,2004-09-09,Final Jeopardy,PRESIDENTS
52,5,4600,2004-09-10,Jeopardy,DETECTIVE FICTION
53,5,4600,2004-09-10,Jeopardy,ANIMATED MOVIES
54,5,4600,2004-09-10,Jeopardy,THE 20th CENTURY
55,5,4600,2004-09-10,Jeopardy,SAM I AM
56,5,4600,2004-09-10,Jeopardy,TOYS & GAMES
57,5,4600,2004-09-10,Jeopardy,SCRAMBLED VEEPS
